year,headline,source,sentiment,summary
1998,Kisan Credit Card Launched for Farm Credit,Times of India,positive,Revolving credit for agricultural needs introduced
2005,KCC Extended to Animal Husbandry,The Hindu,positive,Allied activities brought under credit scheme
2005,5 Crore KCC Cards Issued,Indian Express,positive,Major milestone in agricultural credit
2010,RuPay KCC Replaces Paper Cards,Economic Times,positive,Technology upgrade improves credit access
2010,ATM Facility for KCC Holders,Business Standard,positive,Flexible withdrawal through banking network
2015,Interest Subvention Increased to 3%,The Hindu,positive,Effective rate of 4% for prompt repayers
2015,KCC Validity Extended to 5 Years,Times of India,positive,Reduced documentation burden for farmers
2018,PM-KISAN Beneficiaries to Get KCC,Indian Express,positive,Saturation campaign for income support recipients
2018,15 Crore Active KCC Cards,Economic Times,positive,Massive agricultural credit infrastructure
2019,KCC for Fisheries and Dairy,Business Standard,positive,Allied sectors receive dedicated credit product
2019,Online KCC Renewal Launched,The Hindu,positive,Simplified process reduces bank visits
2020,COVID Moratorium for KCC Loans,Times of India,positive,Relief for farmers during pandemic
2020,Emergency Kharif Working Capital,Indian Express,positive,Timely credit despite disruptions
2021,5 Crore New KCC in Saturation Drive,Economic Times,positive,Intensive campaign for PM-KISAN coverage
2021,Dairy and Fisheries KCC Crosses 50 Lakh,Business Standard,positive,Allied sector credit expands rapidly
2022,Rs 15 Lakh Crore Agri Credit Target,The Hindu,positive,Farm sector credit flow prioritized
2022,KCC NPAs Below 5%,Times of India,positive,Credit quality maintained
2023,20 Crore Active KCC Cards,Indian Express,positive,Universal agricultural credit nears
2023,Climate-Resilient Crop Insurance Integration,Economic Times,positive,Risk protection linked to credit
2024,Small and Marginal Farmer Focus,Business Standard,positive,Targeted outreach for vulnerable farmers
2024,App-Based KCC Disbursement,The Hindu,positive,Digital transformation of farm credit
2025,AI Credit Assessment Using Satellite Data,Times of India,positive,Technology modernizes credit decisions
2025,Green Credit for Sustainable Farming,Indian Express,positive,Environmental considerations in lending
