year,headline,source,sentiment,summary
2020,PM SVANidhi Launched for Street Vendors,Times of India,positive,Working capital loans for COVID-affected vendors
2020,Rs 10000 Collateral-Free Loans,The Hindu,positive,Easy credit for informal sector workers
2021,25 Lakh Vendors Get SVANidhi Loans,Indian Express,positive,Massive uptake of vendor credit scheme
2021,80% Repayment Rate Shows Credit Culture,Economic Times,positive,Street vendors demonstrate creditworthiness
2022,Rs 50000 Third Tranche Introduced,Business Standard,positive,Higher credit limits for proven borrowers
2022,Family Benefits Added to SVANidhi,The Hindu,positive,Health insurance and scholarships for vendor families
2023,30 Lakh Vendors Go Digital,Times of India,positive,QR code payments transform street vending
2023,Fintech Partnerships Expand Reach,Indian Express,positive,Technology enables wider lending access
2024,50 Lakh Vendor Target Approached,Economic Times,positive,Near-universal urban vendor coverage
2024,Enhanced Subsidies for Women Vendors,Business Standard,positive,Gender-focused support for micro-entrepreneurs
2025,Universal Street Vendor Coverage,The Hindu,positive,All urban vendors have credit access
2025,E-Commerce Integration for Vendors,Times of India,positive,Online sales opportunities for street sellers
