year,headline,source,sentiment,summary
2015,PM Launches Beti Bachao Beti Padhao from Haryana,Times of India,positive,Campaign to save and educate girl child launched from low CSR state
2015,100 Districts Targeted for CSR Improvement,The Hindu,positive,Multi-ministry coordination to address gender imbalance
2016,Sex Ratio Improves in 104 Districts,Indian Express,positive,Campaign shows early impact on child sex ratio
2016,Enforcement Against Sex Determination Strengthened,Economic Times,positive,Legal action increases against illegal practices
2017,All 640 Districts Under BBBP,Business Standard,positive,National coverage achieved for girl child scheme
2017,Girls Secondary Enrollment Up 5%,The Hindu,positive,Education component shows measurable success
2018,Sex Ratio Reaches 929 Nationally,Times of India,positive,Sustained improvement in gender balance at birth
2018,School Toilets for Girls Near Saturation,Indian Express,positive,Infrastructure supports girls education
2019,BBBP Restructured for Empowerment Focus,Economic Times,neutral,Scheme shifts from awareness to outcomes
2019,Scholarship Programs for Girls Expanded,Business Standard,positive,Financial support for meritorious girls
2020,COVID Impacts BBBP Activities,The Hindu,negative,Pandemic disrupts scheme implementation
2020,Virtual Campaigns Replace Physical Programs,Times of India,neutral,Digital adaptation during lockdown
2021,Sex Ratio Reaches 940 Nationally,Indian Express,positive,Recovery shows continued improvement
2021,Mission Shakti Announced for Women,Economic Times,positive,Expanded empowerment umbrella scheme
2022,BBBP Subsumed Under Mission Shakti,Business Standard,neutral,Scheme restructured within larger program
2022,Child Marriage Prevention Intensified,The Hindu,positive,Early marriage cases decline
2023,Sex Ratio Touches 950 in Many States,Times of India,positive,Gender balance approaching natural levels
2023,100% Girls Toilet Coverage in Schools,Indian Express,positive,Infrastructure milestone achieved
2024,Sex Ratio Nears 955 Nationally,Economic Times,positive,Continued progress on gender balance
2024,Girls Competition Exam Participation Rises,Business Standard,positive,Educational empowerment demonstrated
2025,Near-Natural Sex Ratio in Many Districts,The Hindu,positive,Scheme achieves key objective
2025,International Recognition for Gender Progress,Times of India,positive,Global acknowledgment of India's improvements
