year,allocated_crores,debt_takeover_lakh_crore,states_joined,atc_loss_percent,focus_area
2015,100,0.5,15,21,UDAY launch November 5
2016,300,1.2,25,20,Debt restructuring
2017,500,1.85,28,19,Operational efficiency
2018,400,2.32,32,18,All states onboard
2019,350,2.32,32,18,Loss reduction target
2020,300,2.32,32,19,COVID revenue impact
2021,350,2.32,32,17,Smart meter rollout
2022,400,2.32,32,16,Feeder separation
2023,450,2.32,32,15,15% ATC loss achieved
2024,500,2.32,32,13,Distribution reforms
2025,550,2.32,32,12,Financial sustainability
