year,headline,source,sentiment,impact_score
2015,Digital India Mission Launched for Knowledge Economy,PIB,positive,95
2016,UPI Launches - Foundation for Payments Revolution,NPCI,positive,90
2017,BHIM App Downloaded by 3 Crore Post Demonetization,Economic Times,positive,85
2018,UPI Processes 1 Billion Transactions in Single Month,The Hindu,positive,90
2019,India Leads Global Real-Time Digital Payments,Mint,positive,90
2020,Aarogya Setu Downloaded 150 Million Times,PIB,positive,85
2020,CoWIN Becomes Worlds Largest Vaccination Platform,Times of India,positive,95
2022,India Processes 46 Percent of Global Realtime Payments,Business Standard,positive,95
2023,UPI Expands to 7 Countries Including Singapore UAE,PIB,positive,90
2024,ONDC Disrupts Digital Commerce Landscape,Economic Times,positive,85
2025,177 Billion UPI Transactions - Digital Economy 10% GDP,PIB,positive,95
