year,headline,source,sentiment,summary
2016,Standup India Launched for SC/ST Women Entrepreneurs,Times of India,positive,Bank loans up to Rs 1 crore for marginalized entrepreneurs
2016,Each Bank Branch to Fund SC/ST Enterprise,The Hindu,positive,Mandatory lending targets for inclusive growth
2017,Women Get 80% of Standup India Loans,Indian Express,positive,Strong gender focus in entrepreneurship support
2017,23000 Enterprises Funded in First Year,Economic Times,positive,Scheme gains momentum with Rs 5000 crore sanctions
2018,Rs 10000 Crore Sanctioned Milestone,Business Standard,positive,Cumulative lending doubles in second year
2018,Online Portal Eases Standup Applications,The Hindu,positive,Digital access improves loan processing
2019,70000 Beneficiaries Under Standup India,Times of India,positive,Scheme reaches significant scale
2019,Margin Money Reduced to 15%,Indian Express,positive,Easier access for first-time entrepreneurs
2020,COVID Hits Standup India Enterprises,Economic Times,negative,Women-led service businesses face challenges
2020,ECLGS Covers Standup Borrowers,Business Standard,positive,Emergency credit for stressed accounts
2021,Recovery as Sanctions Reach Rs 18000 Crore,The Hindu,positive,Post-pandemic entrepreneurship rebounds
2021,E-Commerce Focus for Standup Enterprises,Times of India,positive,Digital business models promoted
2022,1 Lakh Beneficiaries Milestone,Indian Express,positive,Scheme demonstrates significant reach
2022,Manufacturing Prioritized Under Aatmanirbhar,Economic Times,positive,Make in India convergence
2023,Simplified Documentation for Standup,Business Standard,positive,Easier access reduces barriers
2023,Cluster Approach for Enterprise Support,The Hindu,positive,Grouped mentorship and training
2024,1.5 Lakh Entrepreneurs Funded,Times of India,positive,Continued growth trajectory
2024,Green Enterprise Category Added,Indian Express,positive,Sustainable business support
2025,AI Credit Assessment Reduces Processing,Economic Times,positive,Technology speeds loan approvals
2025,Export Focus for Standup Enterprises,Business Standard,positive,International market access enabled
