year,allocated_crores,upi_billion,upi_value_lakh_crore,bhim_million,focus_area
2015,1000,0.001,0.01,0,Digital India Mission launch
2016,1500,0.1,0.3,1,UPI 1.0 launched
2017,2000,1.0,3.0,10,BHIM app 3 crore downloads
2018,3073,3.5,8.0,30,UPI 2.0 features
2019,4000,12.5,21.0,100,1 billion transactions/month
2020,5000,22.3,41.0,150,COVID digital acceleration
2021,6388,38.0,72.0,180,CoWIN vaccination platform
2022,7000,46.0,84.0,200,India leads global realtime
2023,8000,84.0,130.0,220,UPI international launch
2024,9000,131.0,200.0,250,ONDC expansion
2025,10000,177.0,230.0,280,10% GDP digital economy
