year,allocated_crores,mandis,traders_registered,farmers_lakh,focus_area
2016,200,250,8500,1.5,e-NAM launch April 14
2017,300,470,28000,5.2,Integration expansion
2018,400,585,52000,12.8,Quality assaying labs
2019,500,850,85000,28.5,Warehouse integration
2020,600,1000,125000,55.2,1000 mandis milestone
2021,700,1260,168000,105.0,FPO onboarding
2022,800,1361,198000,175.0,Unified license
2023,900,1389,225000,280.0,Price discovery
2024,1000,1400,245000,365.0,1400 mandis operational
2025,1100,1450,260000,450.0,National market integration
