year,headline,source,sentiment,summary
2016,PMFBY Launched with Low Premium Rates,Times of India,positive,Comprehensive crop insurance at 2% premium for farmers
2016,Technology Integration for Crop Assessment,The Hindu,positive,Satellite and drone-based loss assessment initiated
2017,5.7 Crore Farmers Enrolled in PMFBY,Indian Express,positive,Massive coverage shows farmer interest in insurance
2017,Rs 16000 Crore Claims Paid to Farmers,Economic Times,positive,Financial protection demonstrated during crop failures
2018,PMFBY Made Voluntary for Loanee Farmers,Business Standard,neutral,Scheme restructured with optional enrollment
2018,Insurance Companies Face Losses,The Hindu,negative,Adverse weather causes insurer difficulties
2019,States Withdraw from PMFBY,Times of India,negative,Subsidy burden leads to state exits from scheme
2019,Claim Settlement Delays Frustrate Farmers,Indian Express,negative,6-8 month wait for payments draws criticism
2020,COVID Affects Crop Insurance Operations,Economic Times,negative,Lockdown disrupts enrollment and assessment
2020,Locust Attack Claims Benefit Insured Farmers,Business Standard,positive,Adverse events demonstrate insurance value
2021,PMFBY Revamped with Premium Caps,The Hindu,positive,Restructured scheme addresses state concerns
2021,Beed Model Pilots Fixed Premium Insurance,Times of India,positive,Innovative per-acre premium approach tested
2022,Satellite AI Reduces Field Assessment,Indian Express,positive,Remote sensing transforms crop damage evaluation
2022,Coverage Stabilizes at 4.5 Crore Farmers,Economic Times,neutral,Scheme finds sustainable enrollment level
2023,Rs 1.5 Lakh Crore Cumulative Claims Paid,Business Standard,positive,Seven-year milestone shows scheme impact
2023,Horticulture Coverage Expanded,The Hindu,positive,Fruits and vegetables farmers included
2024,All States Now Under PMFBY,Times of India,positive,Universal geographic coverage achieved
2024,Digital 30-Day Claim Settlement Piloted,Indian Express,positive,Technology accelerates farmer payments
2025,AI Yield Estimation Standard Practice,Economic Times,positive,Satellite data automates assessment
2025,Blockchain for Premium Tracking Piloted,Business Standard,positive,Transparent financial flows enabled
