year,allocated_crores,toilets_built_lakh,odf_villages,coverage_percent,focus_area
2014,3625,56,0,39,Mission launch October 2
2015,6525,122,8546,48,Jan Andolan campaign
2016,11300,213,65847,60,ODF districts begin
2017,16248,288,185432,76,Behavior change focus
2018,17843,401,428584,90,90% coverage achieved
2019,12644,550,564658,98,ODF India declaration
2020,9994,600,603175,100,Phase 2 ODF Plus launch
2021,12000,870,603175,100,ODF sustainability focus
2022,14000,1050,603175,100,2.96 lakh ODF Plus villages
2023,15000,1120,603175,100,4.45 lakh ODF Plus villages
2024,16000,1180,603175,100,GOBARDHAN expansion
2025,16500,1204,603175,100,5.68 lakh ODF Plus villages
