year,headline,source,sentiment,summary
2015,Sukanya Samriddhi Launched for Girl Child Savings,Times of India,positive,Highest interest savings scheme for daughters
2015,Tax Benefits Under Section 80C for Sukanya,The Hindu,positive,Triple tax benefit makes scheme attractive
2016,1.26 Crore Sukanya Accounts Opened,Indian Express,positive,Strong first year response from parents
2016,Rural Enrollment Campaigns Through Panchayats,Economic Times,positive,Grassroots outreach for financial inclusion
2017,Interest Rate Adjusted to 8.3%,Business Standard,neutral,Market-linked revision maintains attractiveness
2017,Digital Passbook for Sukanya Accounts,The Hindu,positive,Technology enables easier tracking
2018,1.8 Crore Accounts Mark Family Savings Culture,Times of India,positive,Genuine saving behavior demonstrated
2018,First Maturity Payouts for Sukanya Accounts,Indian Express,positive,Scheme delivers promised returns
2019,2 Crore Sukanya Accounts Milestone,Economic Times,positive,Financial security for millions of girls
2019,Online Account Opening Simplified,Business Standard,positive,Digital access expands reach
2020,Sukanya Deposits Resilient During COVID,The Hindu,positive,Long-term savings unaffected by pandemic
2020,Grace Period Extended for Minimum Deposit,Times of India,positive,Relief for affected families
2021,UPI Deposits Integrated with Sukanya,Indian Express,positive,Digital payments make saving easier
2021,Investment Planning Tools for Parents,Economic Times,positive,Financial literacy support added
2022,2.8 Crore Accounts Show Scheme Success,Business Standard,positive,Sustained growth in girl child savings
2022,95% Completion Rate for Matured Accounts,The Hindu,positive,Families maintain commitment to savings
2023,3 Crore Accounts and Rs 1 Lakh Crore Deposits,Times of India,positive,Major milestone achieved
2023,Interest Rate Revised to 8%,Indian Express,positive,Competitive returns maintained
2024,e-KYC Simplifies Account Opening,Economic Times,positive,Digital verification speeds process
2024,Large-Scale Maturities Fund Education,Business Standard,positive,Scheme fulfills educational support goal
2025,Insurance Integration for Comprehensive Security,The Hindu,positive,Holistic girl child financial planning
2025,Rs 1.25 Lakh Crore Total Deposits,Times of India,positive,Scheme demonstrates massive scale
