year,headline,source,sentiment,summary
2023,PM Vishwakarma Launched for 18 Trades,Times of India,positive,Recognition and support for traditional artisans
2023,Collateral-Free Loans for Craftspeople,The Hindu,positive,Rs 3 lakh credit at 5% interest
2023,Free Toolkits for Registered Artisans,Indian Express,positive,Equipment support for traditional trades
2024,50 Lakh Artisans Registered,Economic Times,positive,Strong first year uptake
2024,Rs 5000 Crore Credit Support,Business Standard,positive,Substantial financial assistance
2024,Women Artisans Get 40% Share,The Hindu,positive,Gender-inclusive scheme implementation
2024,Digital Marketplace Integration,Times of India,positive,GeM access for artisan products
2025,Target 1 Crore Artisans,Indian Express,positive,Ambitious scaling of coverage
2025,Credit Enhanced to Rs 5 Lakh,Economic Times,positive,Higher limits for proven performers
2025,Export Support for Crafts,Business Standard,positive,International market access for artisans
2025,GI Tagging for Unique Crafts,The Hindu,positive,Intellectual property protection for traditional work
