year,headline,source,sentiment,summary
2018,POSHAN Abhiyaan Launched for Nutrition,Times of India,positive,Holistic nutrition mission to reduce malnutrition
2018,All States Under POSHAN Coverage,The Hindu,positive,Universal implementation of nutrition mission
2019,Stunting Reduced from 38% to 35%,Indian Express,positive,Measurable impact on child malnutrition
2019,POSHAN Maah Campaign Success,Economic Times,positive,September awareness month reaches millions
2020,COVID Disrupts Nutrition Services,Business Standard,negative,Anganwadi closures affect meal delivery
2020,POSHAN Tracker App Launched,The Hindu,positive,Digital monitoring of nutrition outcomes
2021,Mission POSHAN 2.0 Launched,Times of India,positive,Integrated supplementary nutrition program
2021,POSHAN Vatika Promoted,Indian Express,positive,Nutrition gardens for dietary diversity
2022,Fortified Rice in PDS,Economic Times,positive,Micronutrient enrichment through food distribution
2022,Millets for Nutritional Security,Business Standard,positive,Traditional grains promoted for nutrition
2023,Stunting Reduced to 32%,The Hindu,positive,Significant progress on malnutrition
2023,40% Reduction in Severe Malnutrition,Times of India,positive,Acute cases declining substantially
2024,Anganwadi Worker Incentives Enhanced,Indian Express,positive,Frontline worker support strengthened
2024,Technology Integration Strengthened,Economic Times,positive,Digital monitoring expands coverage
2025,Near-Target Nutrition Achievement,Business Standard,positive,Mission approaching SDG goals
2025,AI Nutrition Monitoring Piloted,The Hindu,positive,Advanced technology for outcomes tracking
