year,headline,source,sentiment,impact_score
2005,Parliament Passes Historic Employment Guarantee Act,PIB,positive,95
2006,NREGA Launched in 200 Backward Districts,The Hindu,positive,90
2007,NREGA Extends to 330 Districts Covering More States,Times of India,positive,85
2008,NREGA Goes National - All 593 Districts Covered,Indian Express,positive,95
2009,NREGA Renamed as MGNREGA to Honor Gandhi,PIB,positive,80
2010,MGNREGA Hits Peak - 284 Crore Person Days Generated,Economic Times,positive,90
2012,Asset Creation Focus Brings Quality Concerns,The Hindu,neutral,60
2014,MGNREGA Budget Cut Sparks Rural Distress Worries,Indian Express,negative,70
2016,MGNREGA Convergence with PMAY Gramin Enhanced,PIB,positive,75
2018,Aadhaar-Based Payments Reach 90% Under MGNREGA,Mint,positive,80
2020,MGNREGA Emerges as Critical COVID Safety Net,Economic Times,positive,95
2021,Record Rs 111500 Crore Allocated Under Aatmanirbhar,PIB,positive,95
2022,Digital Monitoring via NMMS App Made Mandatory,Business Standard,positive,80
2023,5 Crore Assets Geotagged Under GeoMGNREGA,PIB,positive,85
2024,Average Wage Rate Increased to Rs 267 Per Day,The Hindu,positive,75
2025,28 Crore Workers Registered on MGNREGA Portal,PIB,positive,90
