year,allocated_crores,youth_trained_lakh,placement_lakh,training_partners,focus_area
2014,500,1.2,0.65,250,DDUGKY launch
2015,800,3.5,2.1,450,Rural youth skilling
2017,1200,8.2,5.52,680,Placement guarantee
2019,1500,15.5,11.16,850,70% placement rate
2020,1000,12.8,8.96,820,COVID slowdown
2021,1200,18.2,13.65,900,Digital skills added
2022,1400,24.5,18.62,950,Industry partnerships
2023,1600,32.0,24.96,1000,Migration support
2024,1800,41.2,32.18,1100,4 crore youth skilled
2025,2000,52.0,40.56,1200,Wage employment focus
