year,allocated_crores,loans_sanctioned,amount_disbursed_crore,women_percent,focus_area
2016,100,1500,250,75,Launch April 5
2017,300,8500,1200,76,SC ST Women focus
2018,500,18000,2800,78,Greenfield enterprises
2019,600,32000,4500,79,3 crores loans
2020,500,40000,5200,80,COVID support
2021,550,52000,6500,81,Digital onboarding
2022,600,68000,8200,82,1 lakh loan milestone
2023,700,88000,10500,83,Extended to 2025
2024,800,112000,13000,84,Margin money support
2025,900,140000,16000,85,1.4 lakh beneficiaries
