year,allocated_crores,active_cards_crore,credit_disbursed_lakh_crore,interest_subvention_percent,focus_area
1998,100,0.05,0.1,0,KCC scheme launch
2005,500,2.5,0.8,2,Expansion to fisheries
2010,1200,4.8,2.1,2,Animal husbandry added
2015,2500,6.5,4.5,3,Modified KCC scheme
2018,3200,6.9,6.8,3,Digitization drive
2020,4000,7.0,9.7,3,COVID support
2021,4500,6.95,10.5,2,Interest subvention revised
2022,5000,7.32,12.1,1.5,RuPay KCC launched
2023,5500,7.49,13.5,1.5,Target 7.5 crore cards
2024,6000,7.58,15.2,1.5,Livestock integration
2025,6500,7.65,17.0,1.5,Digital lending platform
