year,headline,source,sentiment,impact_score
2014,PM Launches Swachh Bharat on Gandhi Jayanti,PIB,positive,95
2015,Jan Andolan Creates Mass Movement for Sanitation,Times of India,positive,85
2016,Sikkim Becomes First Open Defecation Free State,PIB,positive,90
2017,Rural Sanitation Coverage Crosses 65 Percent,The Hindu,positive,80
2018,28 Million Toilets Built in Single Year,Economic Times,positive,90
2019,India Declared Open Defecation Free on Gandhi 150,PIB,positive,100
2019,Over 10 Crore Toilets Built in 5 Years,Indian Express,positive,95
2020,Swachh Bharat Phase 2 Launched for ODF Plus,PIB,positive,85
2021,GOBARDHAN Scheme Converts Cattle Dung to Biogas,The Hindu,positive,75
2022,Indore Wins Cleanest City for 6th Consecutive Year,Times of India,positive,80
2023,4.45 Lakh Villages Achieve ODF Plus Status,PIB,positive,85
2024,Plastic Waste Management Intensified Under SBM,Mint,positive,75
2025,5.68 Lakh ODF Plus Villages - Sanitation Revolution Complete,PIB,positive,90
