year,allocated_crores,cities,employment_lakh,street_vendors_lakh,focus_area
2014,500,790,2.5,1.2,DAY-NULM launch
2015,800,790,5.8,3.5,Self employment program
2017,1200,850,12.5,8.2,Skill training expansion
2019,1500,900,25.8,18.5,Women SHG focus
2020,1800,900,32.5,22.8,COVID support
2021,2000,950,45.2,28.5,Digital literacy
2022,2200,1000,58.5,35.2,Urban livelihoods
2023,2400,1000,72.8,42.5,7 crore beneficiaries
2024,2600,1000,88.5,50.0,PM SVANidhi convergence
2025,2800,1000,105.0,58.0,Urban poverty reduction
