year,allocated_crores,spent_crores,disbursed_lakh_crore,accounts_crore,women_percent,sc_st_obc_percent,focus_area
2015,300,275,1.37,3.48,70,51,MUDRA Bank launch April 8
2016,400,370,1.75,4.0,72,53,Shishu Kishore Tarun
2017,500,450,2.46,5.0,73,55,15 crore accounts target
2018,300000,275000,3.12,5.9,74,57,Rs 3 lakh crore target
2019,320000,310000,3.37,6.2,75,59,Employment multiplier 1.5x
2020,280000,265000,3.21,5.8,76,60,COVID moratorium support
2021,2500,2300,3.1,5.5,77,61,Digital lending enhanced
2022,3500,3200,4.56,6.23,78,62,36% growth YoY
2023,4000,3800,5.32,6.67,79,63,52 crore cumulative loans
2024,4500,4200,5.42,5.47,80,64,Tarun Plus Rs 20 lakh
2025,5000,4700,5.8,6.0,80,65,Rs 32.4 lakh crore total
