year,headline,source,sentiment,summary
2019,ONORC Pilot Launched for Ration Portability,Times of India,positive,Migrant workers can access food anywhere in India
2019,4 States Begin One Nation One Ration Card,The Hindu,positive,Inter-state ration portability begins
2020,COVID Accelerates ONORC Implementation,Indian Express,positive,Stranded migrants need portable food access
2020,17 States Integrated on ONORC,Economic Times,positive,Rapid expansion for pandemic response
2021,All States Under ONORC Platform,Business Standard,positive,Universal ration card portability achieved
2021,80 Crore Beneficiaries Covered,The Hindu,positive,Massive scale of food security portability
2022,100 Crore ONORC Transactions,Times of India,positive,Major milestone in food distribution reform
2022,World's Largest Food Network,Indian Express,positive,India ONORC scale unmatched globally
2023,Digital Ration Cards Via App,Economic Times,positive,Mobile access to food entitlements
2023,20% Efficiency Improvement,Business Standard,positive,Technology reduces distribution waste
2024,200 Crore Transactions Milestone,The Hindu,positive,Continued growth in portability usage
2024,Facial Authentication Piloted,Times of India,positive,Enhanced verification alongside Aadhaar
2025,250 Crore Cumulative Transactions,Indian Express,positive,Record food security delivery
2025,AI Fraud Detection Operational,Economic Times,positive,Technology ensures genuine beneficiaries
