year,allocated_crores,expenditure_crores,person_days_crore,households_crore,focus_area
2006,11300,8823,90,2.1,Initial 200 districts launch
2007,12000,12073,143,3.39,Expansion to 330 districts
2008,16000,18200,216,4.51,National coverage all districts
2009,30100,27250,284,5.25,Post-recession employment surge
2010,40100,37910,257,5.49,Peak GDP share 0.6%
2011,40000,39377,216,5.01,Wage increase implementation
2012,33000,30292,230,4.98,Asset creation focus begins
2013,33000,31836,220,4.78,Individual beneficiary schemes
2014,34000,32992,166,3.94,Reforms initiated
2015,34699,37341,235,4.89,Material-labor ratio revision
2016,38500,47499,236,5.11,Convergence with PMAY enhanced
2017,48000,55166,235,5.15,Geo-tagging of assets started
2018,55000,61815,268,5.26,DBT wage payments expanded
2019,60000,71002,265,5.48,ABPS coverage 90%
2020,61500,111500,389,7.49,COVID-19 rural safety net
2021,73000,98468,365,7.21,Aatmanirbhar Bharat package
2022,73000,89400,300,6.12,NMMS app mandatory
2023,60000,86000,280,5.85,5 crore assets geotagged
2024,86000,85838,295,6.02,Wage rate Rs 267 average
2025,86000,75000,260,5.5,28 crore registered workers
