year,allocated_crores,projects_assisted,employment_lakh,margin_money_crore,focus_area
2008,200,8500,0.68,150,PMEGP launch merger
2012,400,42000,3.36,320,Manufacturing services
2015,600,68000,5.44,480,Khadi village industries
2018,750,112000,8.96,640,Digital marketing
2020,500,95000,7.6,420,COVID impact
2021,600,108000,8.64,510,Online application
2022,700,125000,10.0,595,Second loan facility
2023,800,142000,11.36,680,14 lakh projects cumulative
2024,900,158000,12.64,765,Rural entrepreneurship
2025,1000,175000,14.0,850,Green enterprises
