year,headline,source,sentiment,impact_score
2015,PM Launches Housing for All Mission PMAY Urban,PIB,positive,95
2016,PMAY Gramin Replaces Indira Awaas Yojana,The Hindu,positive,85
2017,42 Lakh Houses Sanctioned Under PMAY Urban,Economic Times,positive,85
2018,PMAY Gramin Completes 35 Lakh Houses,PIB,positive,80
2019,100 Lakh Houses Sanctioned Milestone Achieved,Business Standard,positive,90
2019,PMAY-G Phase 1 Achieves 81 Percent Target,The Hindu,positive,85
2020,Housing Construction Continues Despite COVID,PIB,positive,75
2021,Technology Integration Improves Construction Quality,Mint,positive,70
2022,Rs 8.31 Lakh Crore Investment Mobilized,Economic Times,positive,90
2023,122 Lakh Houses Sanctioned Under PMAY Urban,PIB,positive,85
2024,PMAY 2.0 Announced for 1 Crore Additional Houses,Indian Express,positive,95
2025,96.8 Lakh Houses Completed - Housing Revolution Near,PIB,positive,90
