year,headline,source,sentiment,summary
2016,Startup India Launched to Promote Innovation,Times of India,positive,PM announces tax breaks and funding for entrepreneurs
2016,Rs 10000 Crore Fund of Funds Announced,The Hindu,positive,Government commits major investment for startup funding
2017,5000 Startups Recognized Under Initiative,Indian Express,positive,Diverse sectors represented in growing ecosystem
2017,International Partnerships Expand Opportunities,Economic Times,positive,Ties with Israel Singapore and US support startups
2018,Angel Tax Issue Affects Early Funding,Business Standard,negative,Startups face challenges with investment taxation
2018,State Startup Rankings Encourage Competition,The Hindu,positive,States compete to improve entrepreneurship ecosystems
2019,India Third Largest Startup Ecosystem,Times of India,positive,25000 startups position India behind only US and China
2019,30 Plus Unicorns Show Ecosystem Maturity,Indian Express,positive,Multiple billion-dollar startups demonstrate success
2020,COVID Creates Opportunities for Digital Startups,Economic Times,positive,Healthcare edtech and remote work startups thrive
2020,40000 Startups Despite Pandemic Challenges,Business Standard,positive,Recognition continues despite economic disruption
2021,Record 44 Unicorns in Single Year,The Hindu,positive,Unprecedented funding and valuations achieved
2021,$42 Billion Funding Highest Ever,Times of India,positive,India becomes global startup investment destination
2022,Funding Winter Hits Startup Valuations,Economic Times,negative,Global tech slowdown affects Indian ecosystem
2022,Layoffs and Consolidation in Startup Sector,Indian Express,negative,Several startups face challenges in reduced funding environment
2023,Startup India Crosses 1 Lakh Recognition,Business Standard,positive,Milestone achieved despite challenging environment
2023,AI and Climate Tech Lead Priorities,The Hindu,positive,Emerging sectors receive ecosystem focus
2024,Funding Recovery with Profitable Focus,Times of India,positive,Investors prioritize sustainable business models
2024,Deep Tech Opens to Startup Participation,Indian Express,positive,Space and defense sectors accessible for entrepreneurs
2025,1.5 Lakh Startups Position India as Global Hub,Economic Times,positive,Scale and diversity mark ecosystem maturation
2025,Green Startup Certification Launched,Business Standard,positive,Sustainability becomes recognized startup category
