year,allocated_crores,cities,projects_tendered,projects_completed,focus_area
2015,4800,20,100,0,Smart Cities Mission launch
2016,7296,60,800,50,Selection rounds 2-3
2017,9860,90,2500,300,SCCs operational
2018,6169,99,4500,800,ICCC implementation
2019,6450,100,6000,1500,All 100 cities selected
2020,6450,100,6500,2500,Pandemic management
2021,6450,100,7500,4000,Digital services
2022,7500,100,8000,5500,5500 projects complete
2023,8000,100,8200,7000,Rs 1.9 lakh cr investment
2024,8000,100,8500,8200,Extended to 2027
2025,8000,100,8700,9000,9000 projects complete
