year,headline,source,sentiment,impact_score
2014,PM Launches Worlds Largest Financial Inclusion Drive,PIB,positive,100
2014,Guinness Record - 1.8 Crore Accounts in One Week,Times of India,positive,95
2015,Jan Dhan Brings 21 Crore Into Banking System,Economic Times,positive,90
2016,Demonetization Triggers Massive Jan Dhan Deposits,The Hindu,positive,85
2017,DBT Through Jan Dhan Saves Rs 83000 Crore,PIB,positive,90
2018,Zero Balance Accounts Drop Below 20 Percent,Business Standard,positive,80
2019,DBT Integration Expanded to 400 Plus Schemes,PIB,positive,85
2020,Jan Dhan Enables COVID Relief to 20 Crore Women,Indian Express,positive,95
2021,Deposits Cross Rs 1.46 Lakh Crore,Economic Times,positive,80
2022,Average Balance Rises to Rs 3000 Per Account,Mint,positive,75
2024,52 Crore Accounts With Rs 2.30 Lakh Crore Deposits,PIB,positive,90
2025,57.5 Crore - Near Universal Financial Inclusion,PIB,positive,95
