year,applications_lakh,disposed_lakh,appeals,penalties_imposed,focus_area
2005,5,4,5000,100,RTI Act enacted October 12
2006,15,12,15000,200,First full year operation
2007,25,20,25000,350,CIC capacity building
2008,35,30,35000,500,State ICs strengthened
2009,45,38,45000,650,Pro-active disclosure push
2010,55,48,55000,800,55 lakh applications
2012,75,65,70000,1000,E-filing introduced
2015,95,85,85000,1500,Digital transformation
2018,125,110,100000,2200,125 lakh applications
2020,95,85,75000,1800,COVID impact
2022,120,108,95000,2200,Recovery and growth
2024,145,130,115000,2600,Supreme Court rulings
2025,155,140,125000,2800,Digital RTI expansion
