year,headline,source,sentiment,impact_score
2016,PM Launches Ujjwala Yojana from Ballia UP,PIB,positive,95
2017,3.5 Crore LPG Connections Released in 18 Months,The Hindu,positive,90
2018,Target Revised to 8 Crore as Demand Surges,Economic Times,positive,85
2019,8 Crore Target Achieved 7 Months Ahead of Schedule,PIB,positive,95
2019,LPG Coverage Reaches 97 Percent,Business Standard,positive,90
2020,8.3 Crore Ujjwala Families Get Free COVID Refills,PIB,positive,90
2021,Ujjwala 2.0 Launched for 1.6 Crore More Connections,Indian Express,positive,85
2022,Migrant Workers Included Under Simplified Enrollment,The Hindu,positive,80
2023,10 Crore Connections Milestone Crossed,PIB,positive,90
2024,100 Percent LPG Penetration Achieved Nationally,Economic Times,positive,95
2025,Blue Flame Revolution Completes in Rural India,PIB,positive,95
