year,headline,source,sentiment,summary
2005,RTI Act Comes Into Force,The Hindu,positive,Revolutionary transparency law empowers citizens to question government
2005,Citizens Rush to File Information Requests,Times of India,positive,Early adopters use new law to expose corruption in local bodies
2005,Bureaucracy Resists Transparency Push,Indian Express,negative,Officials complain about workload and resist disclosure culture
2006,State Information Commissions Established,Economic Times,positive,Appeal mechanisms institutionalized across all states
2006,RTI Exposes Scam in Public Distribution,Business Standard,positive,Law uncovers ghost ration cards and food grain diversion
2006,Delays in Providing Information Frustrate Activists,The Hindu,negative,Departments miss 30-day deadline routinely without penalties
2007,Training Programs for Information Officers,Times of India,positive,Capacity building efforts aim to improve response quality
2007,RTI Applications Cross 1 Million Mark,Indian Express,positive,Growing citizen awareness drives transparency demands
2007,Harassment of RTI Activists Reported,Economic Times,negative,Violence against transparency crusaders raises safety concerns
2008,Online RTI Filing Portals Launched,Business Standard,positive,Digital platforms make information requests more accessible
2008,Landmark Disclosure on Government Spending,The Hindu,positive,RTI reveals wasteful expenditure in infrastructure projects
2008,Exemptions Clause Misused Say Critics,Times of India,negative,Authorities invoke national security to deny legitimate requests
2009,Suo-Moto Disclosure Guidelines Issued,Indian Express,positive,Proactive publication reduces need for individual applications
2009,RTI Helps Recover Crores in Tax Evasion,Economic Times,positive,Transparency law aids anti-corruption investigations
2009,Information Commissions Face Huge Backlogs,Business Standard,negative,Appeal pendency crosses 1 lakh cases nationwide
2010,RTI Triggers Administrative Reforms,The Hindu,positive,Fear of disclosure compels departments to improve record-keeping
2010,Political Parties Exempt from RTI Scope,Times of India,negative,Supreme Court ruling shields party finances from transparency
2010,5 Million RTI Applications Filed Since 2005,Indian Express,positive,Cumulative achievement shows law mainstream acceptance
2011,Whistleblower Protection Law Passed,Economic Times,positive,Complementary legislation safeguards those exposing corruption
2011,RTI Activist Murdered in Maharashtra,Business Standard,negative,Violence against transparency advocates continues despite protections
2011,Capacity Building Reduces Response Times,The Hindu,positive,Training programs improve compliance with 30-day deadline
2012,E-Governance Integration Streamlines RTI,Times of India,positive,Digital records enable faster information retrieval
2012,RTI Exposes Irregularities in Land Deals,Indian Express,positive,Transparency law reveals crony capitalism in real estate
2012,Frivolous Applications Burden System,Economic Times,negative,Misuse of RTI for personal disputes clogs appeal mechanism
2013,Penalty Provisions Enforced Strictly,Business Standard,positive,Information officers fined for non-compliance improves accountability
2013,10 Million RTI Applications Milestone,The Hindu,positive,Doubling of applications shows sustained citizen engagement
2013,Attempts to Dilute RTI Act Defeated,Times of India,positive,Civil society successfully resists amendments weakening law
2014,RTI Brings Transparency to Electoral Bonds,Indian Express,negative,Opacity in political funding despite transparency legislation
2014,Mobile Apps Enable RTI on the Go,Economic Times,positive,Smartphone applications democratize access to information requests
2014,Information Commissions Understaffed,Business Standard,negative,Vacancies in appellate bodies delay justice for applicants
2015,SMS Tracking for RTI Application Status,The Hindu,positive,Real-time updates improve transparency of transparency mechanism
2015,RTI Reveals Healthcare Scams,Times of India,positive,Law exposes fake medical equipment procurement and ghost patients
2015,Bureaucratic Delays Persist Despite Penalties,Indian Express,negative,Officials find creative ways to avoid disclosure obligations
2016,Nationwide RTI Online Portal Operational,Economic Times,positive,Unified digital platform across all government departments
2016,Deemed Disclosure Rule Speeds Responses,Business Standard,positive,Automatic release if department misses deadline
2016,15 Million Applications Show Growing Awareness,The Hindu,positive,RTI becomes mainstream tool for citizen empowerment
2017,RTI Exposes Education Degree Scams,Times of India,positive,Fake certificate rackets busted using transparency requests
