year,headline,source,sentiment,summary
2014,PM Modi Launches Make in India Campaign,Economic Times,positive,Ambitious initiative to transform India into global manufacturing hub announced
2014,FDI Limits Relaxed in Defense Sector,Business Standard,positive,Foreign investment cap raised to 49 percent to attract technology partners
2014,Global Giants Show Interest in Indian Manufacturing,The Hindu,positive,Samsung and Foxconn announce major production facilities in India
2015,Make in India Gets 55 Billion Dollar FDI,Times of India,positive,Foreign investment surge validates manufacturing revival strategy
2015,Ease of Doing Business Ranking Improves,Indian Express,positive,India jumps 12 positions in World Bank competitiveness index
2015,Labor Law Rigidities Hamper Manufacturing,Economic Times,negative,Industries demand reforms in hire-fire regulations and compliance burden
2016,Textiles Sector Gets Production Boost,Business Standard,positive,Integrated textile parks established to compete with Bangladesh and Vietnam
2016,Land Acquisition Challenges Stall Projects,The Hindu,negative,Industrial corridor development faces farmer resistance and delays
2016,Electronics Manufacturing Crosses 1 Lakh Crore,Times of India,positive,Mobile phone production surge reduces import dependence significantly
2017,Automobile Sector Leads Manufacturing Growth,Indian Express,positive,Car exports increase 25 percent as India becomes production base
2017,GST Implementation Disrupts Supply Chains,Economic Times,negative,Tax transition causes temporary manufacturing slowdown and inventory issues
2017,Pharma Manufacturing Gains Global Recognition,Business Standard,positive,India supplies 60 percent of world vaccine requirements
2018,Skill India Trains 1 Crore Workers,The Hindu,positive,Manufacturing workforce upskilling accelerates through government programs
2018,Industrial Corridor Projects Progress Slowly,Times of India,negative,Infrastructure bottlenecks delay Delhi-Mumbai industrial corridor completion
2018,Trade War Creates Opportunities for India,Indian Express,positive,Companies relocate from China to India seeking alternative manufacturing base
2019,PLI Scheme Designed for Strategic Sectors,Economic Times,positive,Production-linked incentives worth 2 lakh crore announced for 13 industries
2019,Economic Slowdown Hits Manufacturing,Business Standard,negative,Auto sector crisis leads to 3 lakh job losses and plant shutdowns
2019,Toy Manufacturing Gets Major Push,The Hindu,positive,Import substitution strategy targets 60000 crore toy market
2020,Atmanirbhar Bharat Rebrands Make in India,Times of India,positive,Self-reliance push intensifies focus on domestic manufacturing capability
2020,COVID Disrupts Global Supply Chains,Indian Express,negative,Lockdowns and logistics crisis cause manufacturing sector contraction
2020,Medical Equipment Production Surges,Economic Times,positive,Ventilator and PPE kit manufacturing scales rapidly during pandemic
2021,PLI Attracts 3 Lakh Crore Investment,Business Standard,positive,Apple and Samsung commit to major electronics manufacturing expansion
2021,Semiconductor Fab Plans Announced,The Hindu,positive,Government approves incentives for domestic chip manufacturing ecosystem
2021,Logistics Costs Remain High Challenge,Times of India,negative,Transportation expenses double Asian competitors affecting competitiveness
2022,Green Hydrogen Manufacturing Hubs Planned,Indian Express,positive,Renewable energy equipment production to position India as exporter
2022,Manufacturing Share Crosses 18 Percent GDP,Economic Times,positive,Incremental progress toward 25 percent target set for 2030
2022,Chip Shortage Slows Auto Production,Business Standard,negative,Semiconductor supply crisis causes vehicle delivery delays and price hikes
2023,Electric Vehicle Ecosystem Takes Shape,The Hindu,positive,Battery manufacturing and EV assembly lines operational in 5 states
2023,Toy Imports Drop 70 Percent,Times of India,positive,Domestic production replaces Chinese toys through quality improvements
2023,Infrastructure Gaps Persist in Tier 2 Cities,Indian Express,negative,Power and water supply inconsistencies deter manufacturing investments
2024,AI Tools Boost Manufacturing Efficiency,Economic Times,positive,Predictive maintenance and robotics integration reduce production costs
2024,Pharma Exports Cross 25 Billion Dollars,Business Standard,positive,India strengthens position as pharmacy of the world
2024,Labor Skill Gap Widens in Advanced Tech,The Hindu,negative,Shortage of trained workers for semiconductor and robotics manufacturing
2025,Quantum Computing Manufacturing Begins,Times of India,positive,Indigenous quantum processor production marks technological milestone
2025,Green Materials Production Scales Up,Indian Express,positive,Sustainable manufacturing practices adopted in chemical and steel sectors
2025,Global Slowdown Dampens Export Orders,Economic Times,negative,Recession in western markets reduces demand for manufactured goods
