year,allocated_crores,sex_ratio_birth,districts,girl_enrollment_percent,focus_area
2015,100,918,100,92.0,BBBP launch January 22
2016,200,923,161,93.5,Multi-sectoral approach
2017,300,927,245,94.5,Community mobilization
2018,400,931,405,95.0,All district expansion
2019,500,934,500,95.5,Sukanya integration
2020,550,934,640,95.8,COVID awareness
2021,600,933,708,96.0,All 708 districts
2022,650,935,708,96.2,SRB improvement
2023,700,936,708,96.5,Girl education focus
2024,750,938,708,96.8,938 SRB achieved
2025,800,940,708,97.0,Gender parity progress
